team,pistol_win,eco_round,eco_win,semi_eco_round,semi_eco_win,semi_buy_round,semi_buy_win,buy_round,buy_win,game_id,tourney_type,map,match_id,total_round,ot,win_lose
ZETA,1.0,3.0,1.0,0.0,0.0,6.0,3.0,9.0,1.0,119512.0,League Play: Week 1,Ascent,184456.0,18,No,lose
DRX,1.0,3.0,1.0,0.0,0.0,4.0,4.0,11.0,8.0,119512.0,League Play: Week 1,Ascent,184456.0,18,No,win
ZETA,1.0,3.0,1.0,3.0,0.0,3.0,2.0,9.0,2.0,119513.0,League Play: Week 1,Pearl,184456.0,18,No,lose
DRX,1.0,3.0,1.0,1.0,0.0,2.0,1.0,12.0,11.0,119513.0,League Play: Week 1,Pearl,184456.0,18,No,win
T1,1.0,3.0,1.0,0.0,0.0,4.0,3.0,14.0,9.0,119515.0,League Play: Week 1,Pearl,184457.0,21,No,win
GES,1.0,5.0,1.0,1.0,0.0,5.0,2.0,10.0,5.0,119515.0,League Play: Week 1,Pearl,184457.0,21,No,lose
T1,1.0,3.0,1.0,1.0,0.0,7.0,2.0,6.0,1.0,119516.0,League Play: Week 1,Haven,184457.0,17,No,lose
GES,1.0,3.0,1.0,0.0,0.0,2.0,2.0,12.0,10.0,119516.0,League Play: Week 1,Haven,184457.0,17,No,win
T1,1.0,2.0,1.0,3.0,1.0,4.0,3.0,11.0,8.0,119517.0,League Play: Week 1,Lotus,184457.0,20,No,win
GES,1.0,4.0,1.0,0.0,0.0,5.0,1.0,11.0,5.0,119517.0,League Play: Week 1,Lotus,184457.0,20,No,lose
PRX,1.0,3.0,1.0,0.0,0.0,5.0,4.0,10.0,8.0,119518.0,League Play: Week 1,Pearl,184458.0,18,No,win
DFM,1.0,2.0,1.0,3.0,0.0,4.0,1.0,9.0,3.0,119518.0,League Play: Week 1,Pearl,184458.0,18,No,lose
PRX,1.0,4.0,1.0,2.0,1.0,4.0,2.0,14.0,9.0,119519.0,League Play: Week 1,Lotus,184458.0,24,Yes,win
DFM,1.0,3.0,1.0,1.0,1.0,4.0,1.0,16.0,8.0,119519.0,League Play: Week 1,Lotus,184458.0,24,Yes,lose
TS,2.0,2.0,2.0,1.0,0.0,6.0,4.0,9.0,7.0,119521.0,League Play: Week 1,Ascent,184459.0,18,No,win
TLN,0.0,4.0,0.0,0.0,0.0,4.0,1.0,10.0,4.0,119521.0,League Play: Week 1,Ascent,184459.0,18,No,lose
TS,0.0,4.0,0.0,1.0,0.0,4.0,3.0,12.0,5.0,119522.0,League Play: Week 1,Icebox,184459.0,21,No,lose
TLN,2.0,2.0,2.0,2.0,1.0,4.0,3.0,13.0,7.0,119522.0,League Play: Week 1,Icebox,184459.0,21,No,win
TS,2.0,2.0,2.0,1.0,1.0,4.0,3.0,9.0,7.0,119523.0,League Play: Week 1,Fracture,184459.0,16,No,win
TLN,0.0,3.0,0.0,3.0,0.0,3.0,1.0,7.0,2.0,119523.0,League Play: Week 1,Fracture,184459.0,16,No,lose
RRQ,1.0,3.0,1.0,1.0,0.0,4.0,2.0,14.0,6.0,119524.0,League Play: Week 1,Fracture,184460.0,22,No,lose
GEN,1.0,3.0,1.0,2.0,0.0,3.0,2.0,14.0,10.0,119524.0,League Play: Week 1,Fracture,184460.0,22,No,win
RRQ,2.0,2.0,2.0,3.0,1.0,7.0,2.0,7.0,1.0,119525.0,League Play: Week 1,Lotus,184460.0,19,No,lose
GEN,0.0,4.0,0.0,0.0,0.0,2.0,2.0,13.0,11.0,119525.0,League Play: Week 1,Lotus,184460.0,19,No,win
ZETA,1.0,3.0,1.0,1.0,0.0,5.0,2.0,14.0,7.0,119527.0,League Play: Week 2,Haven,184461.0,23,No,lose
RRQ,1.0,3.0,1.0,0.0,0.0,6.0,4.0,14.0,8.0,119527.0,League Play: Week 2,Haven,184461.0,23,No,win
ZETA,1.0,3.0,1.0,1.0,1.0,6.0,3.0,13.0,8.0,119528.0,League Play: Week 2,Ascent,184461.0,23,No,win
RRQ,1.0,3.0,1.0,1.0,0.0,5.0,3.0,14.0,6.0,119528.0,League Play: Week 2,Ascent,184461.0,23,No,lose
ZETA,1.0,3.0,1.0,0.0,0.0,2.0,2.0,13.0,10.0,119529.0,League Play: Week 2,Lotus,184461.0,18,No,win
RRQ,1.0,3.0,1.0,1.0,0.0,7.0,2.0,7.0,2.0,119529.0,League Play: Week 2,Lotus,184461.0,18,No,lose
TLN,0.0,4.0,0.0,2.0,0.0,1.0,1.0,14.0,7.0,119530.0,League Play: Week 2,Ascent,184462.0,21,No,lose
T1,2.0,2.0,2.0,2.0,1.0,5.0,2.0,12.0,8.0,119530.0,League Play: Week 2,Ascent,184462.0,21,No,win
TLN,0.0,3.0,0.0,2.0,0.0,6.0,2.0,8.0,4.0,119531.0,League Play: Week 2,Haven,184462.0,19,No,lose
T1,2.0,2.0,2.0,1.0,1.0,7.0,4.0,9.0,6.0,119531.0,League Play: Week 2,Haven,184462.0,19,No,win
TS,2.0,2.0,2.0,2.0,0.0,6.0,2.0,14.0,7.0,119533.0,League Play: Week 2,Haven,184463.0,24,Yes,lose
PRX,0.0,5.0,0.0,1.0,0.0,2.0,1.0,16.0,12.0,119533.0,League Play: Week 2,Haven,184463.0,24,Yes,win
TS,1.0,3.0,1.0,1.0,0.0,5.0,4.0,15.0,8.0,119534.0,League Play: Week 2,Fracture,184463.0,24,Yes,win
PRX,1.0,3.0,1.0,0.0,0.0,9.0,6.0,12.0,4.0,119534.0,League Play: Week 2,Fracture,184463.0,24,Yes,lose
TS,2.0,2.0,2.0,1.0,1.0,4.0,2.0,16.0,8.0,119535.0,League Play: Week 2,Split,184463.0,23,No,win
PRX,0.0,4.0,0.0,1.0,0.0,5.0,2.0,13.0,8.0,119535.0,League Play: Week 2,Split,184463.0,23,No,lose
GEN,1.0,3.0,1.0,1.0,0.0,3.0,3.0,14.0,9.0,119536.0,League Play: Week 2,Lotus,184465.0,21,No,win
DFM,1.0,3.0,1.0,1.0,0.0,4.0,2.0,13.0,5.0,119536.0,League Play: Week 2,Lotus,184465.0,21,No,lose
GEN,0.0,5.0,0.0,2.0,1.0,5.0,0.0,5.0,3.0,119537.0,League Play: Week 2,Fracture,184465.0,17,No,lose
DFM,2.0,2.0,2.0,0.0,0.0,3.0,2.0,12.0,9.0,119537.0,League Play: Week 2,Fracture,184465.0,17,No,win
GEN,2.0,2.0,2.0,1.0,0.0,5.0,2.0,13.0,9.0,119538.0,League Play: Week 2,Pearl,184465.0,21,No,win
DFM,0.0,4.0,0.0,1.0,0.0,5.0,2.0,11.0,6.0,119538.0,League Play: Week 2,Pearl,184465.0,21,No,lose
GES,2.0,2.0,2.0,1.0,0.0,5.0,3.0,16.0,6.0,119539.0,League Play: Week 2,Haven,184466.0,24,Yes,lose
DRX,0.0,5.0,0.0,0.0,0.0,2.0,1.0,17.0,12.0,119539.0,League Play: Week 2,Haven,184466.0,24,Yes,win
GES,1.0,4.0,2.0,0.0,0.0,4.0,1.0,24.0,12.0,119540.0,League Play: Week 2,Split,184466.0,32,Yes,lose
DRX,1.0,4.0,1.0,1.0,1.0,2.0,0.0,25.0,15.0,119540.0,League Play: Week 2,Split,184466.0,32,Yes,win
RRQ,1.0,3.0,2.0,1.0,1.0,2.0,1.0,11.0,9.0,119542.0,League Play: Week 3,Haven,184467.0,17,No,win
DFM,1.0,4.0,1.0,1.0,0.0,5.0,0.0,7.0,3.0,119542.0,League Play: Week 3,Haven,184467.0,17,No,lose
RRQ,2.0,2.0,2.0,1.0,0.0,4.0,3.0,13.0,8.0,119543.0,League Play: Week 3,Pearl,184467.0,20,No,win
DFM,0.0,4.0,0.0,2.0,0.0,4.0,2.0,10.0,5.0,119543.0,League Play: Week 3,Pearl,184467.0,20,No,lose
T1,1.0,3.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,119545.0,League Play: Week 3,Pearl,184468.0,16,No,lose
PRX,1.0,3.0,1.0,0.0,0.0,3.0,3.0,10.0,9.0,119545.0,League Play: Week 3,Pearl,184468.0,16,No,win
T1,1.0,3.0,1.0,2.0,0.0,5.0,2.0,9.0,3.0,119546.0,League Play: Week 3,Fracture,184468.0,19,No,lose
PRX,1.0,3.0,1.0,0.0,0.0,3.0,2.0,13.0,10.0,119546.0,League Play: Week 3,Fracture,184468.0,19,No,win
ZETA,1.0,3.0,1.0,0.0,0.0,12.0,6.0,7.0,2.0,119548.0,League Play: Week 3,Pearl,184469.0,22,No,lose
GES,1.0,4.0,1.0,1.0,1.0,2.0,2.0,15.0,9.0,119548.0,League Play: Week 3,Pearl,184469.0,22,No,win
ZETA,0.0,4.0,0.0,0.0,0.0,10.0,6.0,12.0,8.0,119549.0,League Play: Week 3,Ascent,184469.0,26,Yes,win
GES,2.0,4.0,2.0,2.0,0.0,5.0,3.0,15.0,7.0,119549.0,League Play: Week 3,Ascent,184469.0,26,Yes,lose
ZETA,1.0,3.0,2.0,0.0,0.0,8.0,6.0,10.0,5.0,119550.0,League Play: Week 3,Haven,184469.0,21,No,win
GES,1.0,4.0,1.0,1.0,0.0,3.0,2.0,13.0,5.0,119550.0,League Play: Week 3,Haven,184469.0,21,No,lose
TLN,1.0,2.0,1.0,2.0,0.0,8.0,2.0,4.0,0.0,119551.0,League Play: Week 3,Split,184470.0,16,No,lose
DRX,1.0,3.0,1.0,0.0,0.0,3.0,3.0,10.0,9.0,119551.0,League Play: Week 3,Split,184470.0,16,No,win
TLN,1.0,3.0,1.0,1.0,0.0,8.0,4.0,11.0,5.0,119552.0,League Play: Week 3,Pearl,184470.0,23,No,lose
DRX,1.0,3.0,1.0,1.0,1.0,3.0,1.0,16.0,10.0,119552.0,League Play: Week 3,Pearl,184470.0,23,No,win
TS,0.0,4.0,0.0,2.0,1.0,4.0,1.0,11.0,6.0,119554.0,League Play: Week 3,Haven,184471.0,21,No,lose
GEN,2.0,2.0,2.0,0.0,0.0,10.0,6.0,9.0,5.0,119554.0,League Play: Week 3,Haven,184471.0,21,No,win
TS,1.0,3.0,1.0,2.0,1.0,3.0,1.0,16.0,8.0,119555.0,League Play: Week 3,Fracture,184471.0,24,Yes,lose
GEN,1.0,3.0,1.0,3.0,1.0,3.0,1.0,15.0,10.0,119555.0,League Play: Week 3,Fracture,184471.0,24,Yes,win
PRX,1.0,3.0,1.0,2.0,0.0,5.0,1.0,8.0,3.0,119557.0,League Play: Week 4,Ascent,184472.0,18,No,lose
DRX,1.0,3.0,1.0,0.0,0.0,2.0,2.0,13.0,10.0,119557.0,League Play: Week 4,Ascent,184472.0,18,No,win
PRX,1.0,3.0,1.0,0.0,0.0,7.0,5.0,13.0,4.0,119558.0,League Play: Week 4,Split,184472.0,23,No,lose
DRX,1.0,3.0,1.0,0.0,0.0,4.0,1.0,16.0,11.0,119558.0,League Play: Week 4,Split,184472.0,23,No,win
TS,1.0,4.0,1.0,1.0,0.0,6.0,3.0,12.0,6.0,119560.0,League Play: Week 4,Icebox,184473.0,23,No,lose
RRQ,1.0,3.0,2.0,0.0,0.0,4.0,2.0,16.0,9.0,119560.0,League Play: Week 4,Icebox,184473.0,23,No,win
TS,1.0,3.0,1.0,1.0,0.0,7.0,2.0,9.0,4.0,119561.0,League Play: Week 4,Split,184473.0,20,No,lose
RRQ,1.0,3.0,1.0,0.0,0.0,3.0,2.0,14.0,10.0,119561.0,League Play: Week 4,Split,184473.0,20,No,win
T1,2.0,2.0,2.0,2.0,0.0,6.0,1.0,8.0,2.0,119563.0,League Play: Week 4,Ascent,184474.0,18,No,lose
GEN,0.0,4.0,1.0,0.0,0.0,5.0,5.0,9.0,7.0,119563.0,League Play: Week 4,Ascent,184474.0,18,No,win
T1,0.0,3.0,0.0,3.0,1.0,4.0,0.0,8.0,4.0,119564.0,League Play: Week 4,Haven,184474.0,18,No,lose
GEN,2.0,2.0,2.0,0.0,0.0,5.0,5.0,11.0,6.0,119564.0,League Play: Week 4,Haven,184474.0,18,No,win
ZETA,2.0,2.0,2.0,1.0,0.0,10.0,3.0,9.0,8.0,119566.0,League Play: Week 4,Ascent,184475.0,22,No,win
DFM,0.0,3.0,0.0,0.0,0.0,7.0,3.0,12.0,6.0,119566.0,League Play: Week 4,Ascent,184475.0,22,No,lose
ZETA,1.0,3.0,1.0,1.0,1.0,3.0,3.0,11.0,8.0,119567.0,League Play: Week 4,Haven,184475.0,18,No,win
DFM,1.0,3.0,1.0,1.0,0.0,8.0,3.0,6.0,1.0,119567.0,League Play: Week 4,Haven,184475.0,18,No,lose
TLN,1.0,3.0,1.0,1.0,0.0,8.0,4.0,7.0,1.0,119569.0,League Play: Week 4,Split,184476.0,19,No,lose
GES,1.0,3.0,1.0,2.0,2.0,2.0,1.0,12.0,9.0,119569.0,League Play: Week 4,Split,184476.0,19,No,win
TLN,1.0,3.0,1.0,2.0,0.0,5.0,1.0,14.0,9.0,119570.0,League Play: Week 4,Icebox,184476.0,24,Yes,lose
GES,1.0,2.0,1.0,3.0,0.0,5.0,4.0,14.0,8.0,119570.0,League Play: Week 4,Icebox,184476.0,24,Yes,win
PRX,0.0,4.0,0.0,1.0,0.0,2.0,2.0,13.0,5.0,119572.0,League Play: Week 5,Icebox,184477.0,20,No,lose
GES,2.0,3.0,2.0,2.0,1.0,3.0,3.0,12.0,7.0,119572.0,League Play: Week 5,Icebox,184477.0,20,No,win
PRX,1.0,3.0,1.0,0.0,0.0,3.0,3.0,13.0,9.0,119573.0,League Play: Week 5,Split,184477.0,19,No,win
GES,1.0,5.0,1.0,0.0,0.0,6.0,2.0,8.0,3.0,119573.0,League Play: Week 5,Split,184477.0,19,No,lose
PRX,1.0,3.0,1.0,1.0,1.0,2.0,2.0,14.0,9.0,119574.0,League Play: Week 5,Pearl,184477.0,20,No,win
GES,1.0,4.0,1.0,2.0,0.0,3.0,1.0,11.0,5.0,119574.0,League Play: Week 5,Pearl,184477.0,20,No,lose
GEN,1.0,3.0,1.0,3.0,0.0,2.0,1.0,12.0,5.0,119575.0,League Play: Week 5,Haven,184478.0,20,No,lose
DRX,1.0,3.0,1.0,1.0,0.0,2.0,2.0,14.0,10.0,119575.0,League Play: Week 5,Haven,184478.0,20,No,win
GEN,0.0,4.0,1.0,0.0,0.0,3.0,3.0,16.0,9.0,119576.0,League Play: Week 5,Fracture,184478.0,23,No,win
DRX,2.0,3.0,2.0,3.0,0.0,5.0,2.0,12.0,6.0,119576.0,League Play: Week 5,Fracture,184478.0,23,No,lose
GEN,1.0,3.0,1.0,1.0,0.0,5.0,1.0,8.0,2.0,119577.0,League Play: Week 5,Pearl,184478.0,17,No,lose
DRX,1.0,3.0,2.0,0.0,0.0,3.0,1.0,11.0,10.0,119577.0,League Play: Week 5,Pearl,184478.0,17,No,win
T1,2.0,2.0,2.0,0.0,0.0,7.0,5.0,13.0,6.0,119578.0,League Play: Week 5,Haven,184479.0,22,No,win
RRQ,0.0,4.0,0.0,1.0,0.0,3.0,2.0,14.0,7.0,119578.0,League Play: Week 5,Haven,184479.0,22,No,lose
T1,0.0,4.0,1.0,0.0,0.0,2.0,2.0,11.0,10.0,119579.0,League Play: Week 5,Fracture,184479.0,17,No,win
RRQ,2.0,3.0,2.0,3.0,0.0,5.0,1.0,6.0,1.0,119579.0,League Play: Week 5,Fracture,184479.0,17,No,lose
TS,1.0,3.0,1.0,2.0,1.0,2.0,1.0,17.0,10.0,119581.0,League Play: Week 5,Ascent,184480.0,24,Yes,win
DFM,1.0,3.0,1.0,1.0,0.0,10.0,5.0,10.0,5.0,119581.0,League Play: Week 5,Ascent,184480.0,24,Yes,lose
TS,0.0,4.0,1.0,2.0,0.0,1.0,1.0,14.0,11.0,119582.0,League Play: Week 5,Haven,184480.0,21,No,win
DFM,2.0,3.0,3.0,2.0,0.0,8.0,1.0,8.0,4.0,119582.0,League Play: Week 5,Haven,184480.0,21,No,lose
ZETA,1.0,3.0,2.0,0.0,0.0,11.0,4.0,7.0,2.0,119584.0,League Play: Week 5,Haven,184481.0,21,No,lose
TLN,1.0,3.0,1.0,3.0,0.0,2.0,1.0,13.0,11.0,119584.0,League Play: Week 5,Haven,184481.0,21,No,win
ZETA,1.0,3.0,1.0,1.0,1.0,10.0,4.0,16.0,8.0,119585.0,League Play: Week 5,Ascent,184481.0,30,Yes,lose
TLN,1.0,3.0,1.0,3.0,0.0,4.0,3.0,20.0,12.0,119585.0,League Play: Week 5,Ascent,184481.0,30,Yes,win
T1,1.0,3.0,2.0,1.0,0.0,3.0,2.0,15.0,9.0,119587.0,League Play: Week 6,Lotus,184482.0,22,No,win
DFM,1.0,4.0,1.0,1.0,0.0,9.0,4.0,8.0,4.0,119587.0,League Play: Week 6,Lotus,184482.0,22,No,lose
T1,1.0,4.0,2.0,1.0,0.0,8.0,3.0,9.0,4.0,119588.0,League Play: Week 6,Split,184482.0,22,No,lose
DFM,1.0,3.0,1.0,0.0,0.0,6.0,4.0,13.0,8.0,119588.0,League Play: Week 6,Split,184482.0,22,No,win
T1,0.0,3.0,0.0,1.0,0.0,3.0,3.0,16.0,10.0,119589.0,League Play: Week 6,Fracture,184482.0,23,No,win
DFM,2.0,2.0,2.0,4.0,1.0,6.0,4.0,11.0,3.0,119589.0,League Play: Week 6,Fracture,184482.0,23,No,lose
ZETA,2.0,2.0,2.0,0.0,0.0,12.0,6.0,8.0,5.0,119590.0,League Play: Week 6,Split,184483.0,22,No,win
TS,0.0,3.0,0.0,3.0,2.0,2.0,0.0,14.0,7.0,119590.0,League Play: Week 6,Split,184483.0,22,No,lose
ZETA,1.0,3.0,1.0,2.0,1.0,10.0,3.0,8.0,5.0,119591.0,League Play: Week 6,Lotus,184483.0,23,No,lose
TS,1.0,3.0,1.0,0.0,0.0,4.0,3.0,16.0,9.0,119591.0,League Play: Week 6,Lotus,184483.0,23,No,win
ZETA,2.0,2.0,2.0,1.0,0.0,7.0,3.0,12.0,8.0,119592.0,League Play: Week 6,Fracture,184483.0,22,No,win
TS,0.0,4.0,0.0,2.0,1.0,2.0,0.0,14.0,8.0,119592.0,League Play: Week 6,Fracture,184483.0,22,No,lose
GES,2.0,4.0,2.0,1.0,1.0,3.0,1.0,13.0,9.0,119593.0,League Play: Week 6,Pearl,184484.0,21,No,win
GEN,0.0,3.0,0.0,3.0,1.0,4.0,2.0,11.0,5.0,119593.0,League Play: Week 6,Pearl,184484.0,21,No,lose
GES,1.0,3.0,2.0,0.0,0.0,5.0,4.0,13.0,7.0,119594.0,League Play: Week 6,Lotus,184484.0,21,No,win
GEN,1.0,3.0,1.0,3.0,0.0,7.0,3.0,8.0,4.0,119594.0,League Play: Week 6,Lotus,184484.0,21,No,lose
RRQ,0.0,4.0,0.0,0.0,0.0,4.0,4.0,13.0,9.0,119596.0,League Play: Week 6,Haven,184485.0,21,No,win
